City Name,City ID,Country Code,Longitude,Latitude,Temp,Feels Like Temp,Min Temp,Max Temp,Pressure,Humidity,Visibility,Wind Speed,Wind Temp,Sunrise,Sunset,Cloudiness
Barrow,5880054,US,-156.7887,71.2906,-26.99,-33.99,-26.99,-26.99,1018,69,10000,4.12,240,1647707355,1647751226,100
Castro,3466704,BR,-50.0119,-24.7911,18.37,18.85,18.37,18.37,1017,99,8193,1.1,326,1647681792,1647725547,100
Abadan,162099,TM,58.2056,38.0507,7.85,4.45,7.85,7.85,1026,71,10000,6.17,110,1647655970,1647699436,100
Yellowknife,6185377,CA,-114.3525,62.456,-21.38,-28.05,-21.38,-21.38,1014,100,3683,2.34,76,1647697284,1647740932,95
Upernavik,3418910,GL,-56.1549,72.7868,-22.28,-27.36,-22.28,-22.28,1012,70,10000,1.57,28,1647683268,1647727019,100
Faanui,4034551,PF,-151.75,-16.4833,28.3,31.26,28.3,28.3,1013,70,10000,7.05,119,1647706244,1647749918,3
Buala,2109528,SB,159.5921,-8.145,27.19,29.96,27.19,27.19,1008,78,10000,2.27,31,1647717943,1647761570,100
Sumbe,3346015,AO,13.8437,-11.2061,28.45,31.26,28.45,28.45,1008,68,10000,4.18,283,1647666516,1647710179,62
Tasiilaq,3424607,GL,-37.6368,65.6145,-4.91,-9.59,-4.91,-4.91,1009,72,10000,3.19,338,1647678900,1647722500,100
New Norfolk,2155415,AU,147.0587,-42.7826,13.03,12.09,9.95,13.28,1017,65,10000,1.21,328,1647720817,1647764711,9
São Filipe,3374210,CV,-24.4956,14.8961,21.38,21.45,21.38,21.38,1014,72,10000,5.6,45,1647675776,1647719318,18
Ushuaia,3833367,AR,-68.3,-54.8,4.81,2.62,4.81,5.79,1020,75,10000,2.57,70,1647685942,1647730174,0
Rikitea,4030556,PF,-134.9692,-23.1203,26.49,26.49,26.49,26.49,1017,76,10000,3.27,85,1647702194,1647745915,4
Bambous Virieux,1106677,MU,57.7575,-20.3428,27.14,31.02,27.14,28.45,1010,89,3000,2.06,220,1647655941,1647699680,75
Jiutai,2036401,CN,125.8328,44.1525,-5.81,-5.81,-5.81,-5.81,1019,88,10000,0.53,340,1647639764,1647683187,13
Penzance,2640377,GB,-5.5371,50.1186,10.62,9.59,10.38,10.62,1027,71,10000,14.92,110,1647671251,1647714745,20
Vestmannaeyjar,3412093,IS,-20.2734,63.4427,8.55,3.27,8.55,8.55,1003,93,2000,15.43,180,1647674754,1647718314,100
Yenagoa,2318123,NG,6.2642,4.9247,35.53,38.22,35.53,35.53,1006,40,10000,2.91,219,1647668378,1647711954,100
Hermanus,3366880,ZA,19.2345,-34.4187,27.67,29.17,27.67,27.67,1017,62,10000,9.64,138,1647665114,1647708994,0
Ulundi,946257,ZA,31.4162,-28.3352,27.29,26.97,27.29,27.29,1017,38,10000,2.87,102,1647662225,1647706036,92
Gīdolē,336526,ET,37.3667,5.65,24.32,23.54,24.32,24.32,1007,28,10000,0.66,81,1647660917,1647704489,91
Hambantota,1244926,LK,81.1185,6.1241,27.56,30.29,27.56,27.56,1007,74,10000,7.09,263,1647650422,1647693988,93
Florø,3156980,NO,5.0328,61.5996,8.98,5.57,8.98,9.04,1047,66,10000,7.2,150,1647668700,1647712223,100
Shīeli,1524801,KZ,66.75,44.1667,2.46,-0.06,2.46,2.46,1033,43,10000,2.45,316,1647653926,1647697379,10
Hong Kong,1819729,HK,114.1577,22.2855,23.28,23.91,22.75,23.99,1010,86,10000,5.81,100,1647642531,1647686024,9
Tuktoyaktuk,6170031,CA,-133.0374,69.4541,-26,-33,-26,-26,1017,76,10000,4.63,300,1647701698,1647745484,75
Ucluelet,6171633,CA,-125.5528,48.9329,4.49,4.49,3.17,4.49,1010,92,10000,0.45,308,1647700013,1647743578,62
San Patricio,4726521,US,-97.5169,28.017,17.45,16.74,14.74,18.93,1023,57,10000,4.26,49,1647693302,1647736834,39
Busselton,2075265,AU,115.3333,-33.65,19.57,18.86,19.57,19.57,1017,49,10000,6.27,117,1647642043,1647685947,100
Kasongo-Lunda,2315026,CD,16.8167,-6.4667,30,32.83,30,30,1006,60,10000,0.73,35,1647665817,1647709451,40
Hobart,2163355,AU,147.3294,-42.8794,12.15,11.74,10.14,13.48,1013,89,10000,4.12,360,1647720751,1647764647,10
East London,1006984,ZA,27.9116,-33.0153,25.1,25.57,25.1,25.1,1018,73,10000,5.07,69,1647663040,1647706904,100
Cape Town,3369157,ZA,18.4232,-33.9258,25.18,25.16,24.49,26.26,1016,54,10000,7.2,220,1647665312,1647709185,0
